,predicted_ranking,predicted_ranking_weights,predicted_ranking_arr,true_ranking,true_ranking_weights,true_ranking_arr
1497_wall-robot-navigation,"('DyS', 'SMM', 'SORD', 'MS', 'MAX', 'X', 'HDy', 'ACC', 'PACC', 'PCC', 'CC')","[0.09384784 0.09347177 0.09343069 0.09333341 0.09299106 0.09292105
 0.09214801 0.09192946 0.08587842 0.08511004 0.08493825]","(np.float64(1.0348263979341485), np.float64(1.0306796321684168), np.float64(1.0302266644570481), np.float64(1.0291540135472117), np.float64(1.0253790035387111), np.float64(1.0246070670950973), np.float64(1.0160830528846647), np.float64(1.0136732046881078), np.float64(0.9469505274104273), np.float64(0.9384778893827729), np.float64(0.9365835774389717))","('DyS', 'SMM', 'SORD', 'MS', 'MAX', 'X', 'ACC', 'HDy', 'PACC', 'CC', 'PCC')","[0.09369997 0.09334835 0.09325638 0.09320769 0.09286689 0.09283443
 0.09232592 0.09196889 0.0883823  0.08525012 0.08285906]","(np.float64(1.0321986522567892), np.float64(1.0283251372088027), np.float64(1.027312064042406), np.float64(1.026775731189608), np.float64(1.0230214012200212), np.float64(1.0226638459848227), np.float64(1.0170621473000425), np.float64(1.0131290397128563), np.float64(0.9736191862233963), np.float64(0.9391151060267188), np.float64(0.9127752037004118))"
1504_steel-plates-fault,"('DyS', 'SMM', 'MS', 'SORD', 'HDy', 'MAX', 'X', 'ACC', 'CC', 'PACC', 'PCC')","[0.0933151  0.09298756 0.09292606 0.0927975  0.09276871 0.09223087
 0.09201542 0.09197431 0.0871775  0.08712441 0.08468259]","(np.float64(1.0279284706372713), np.float64(1.0243204408391262), np.float64(1.0236429366062771), np.float64(1.0222267606989883), np.float64(1.0219096616260441), np.float64(1.0159849464562958), np.float64(1.0136116328926863), np.float64(1.0131587562256223), np.float64(0.960318695246558), np.float64(0.9597338653647614), np.float64(0.9328355949241803))","('ACC', 'CC', 'DyS', 'MAX', 'MS', 'SORD', 'X', 'SMM', 'HDy', 'PACC', 'PCC')","[0.09099553 0.09099553 0.09099553 0.09099553 0.09099553 0.09099553
 0.09099553 0.09099052 0.09081037 0.0906152  0.0906152 ]","(np.float64(1.0009532421506102), np.float64(1.0009532421506102), np.float64(1.0009532421506102), np.float64(1.0009532421506102), np.float64(1.0009532421506102), np.float64(1.0009532421506102), np.float64(1.0009532421506102), np.float64(1.0008981944885027), np.float64(0.9989164786526319), np.float64(0.9967696198304381), np.float64(0.9967696198304381))"
1507_twonorm,"('HDy', 'DyS', 'SORD', 'MAX', 'MS', 'X', 'PCC', 'ACC', 'SMM', 'CC', 'PACC')","[0.10519162 0.10232221 0.09820758 0.09820156 0.09168072 0.08817968
 0.08767437 0.08556893 0.08469067 0.08368006 0.07460261]","(np.float64(1.1670640124670797), np.float64(1.1352289040211427), np.float64(1.0895785598308232), np.float64(1.0895118195609312), np.float64(1.0171653676580006), np.float64(0.978322530934589), np.float64(0.9727163483064973), np.float64(0.9493572540645805), np.float64(0.9396131747508831), np.float64(0.9284008095022976), np.float64(0.8276897431525053))","('SMM', 'DyS', 'SORD', 'MS', 'HDy', 'X', 'ACC', 'MAX', 'PACC', 'CC', 'PCC')","[0.09121406 0.0911837  0.09117358 0.09113816 0.09111792 0.09100661
 0.09096107 0.09095095 0.0907688  0.09050569 0.08997947]","(np.float64(1.0033687023698101), np.float64(1.0030347530046861), np.float64(1.0029234365496447), np.float64(1.002533828957), np.float64(1.0023111960469173), np.float64(1.0010867150414624), np.float64(1.0005857909937765), np.float64(1.000474474538735), np.float64(0.9984707783479909), np.float64(0.995576550516916), np.float64(0.9897880948547657))"
1526_wall-robot-navigation,"('DyS', 'SMM', 'MS', 'SORD', 'X', 'MAX', 'HDy', 'ACC', 'PACC', 'CC', 'PCC')","[0.09299812 0.09258209 0.0925726  0.09256891 0.09220593 0.09218719
 0.09218473 0.09171692 0.08889117 0.08678199 0.08531034]","(np.float64(1.0240571161590246), np.float64(1.019475933032686), np.float64(1.0193714862539351), np.float64(1.0193308102633016), np.float64(1.0153338536351593), np.float64(1.0151274891915143), np.float64(1.015100386866376), np.float64(1.0099490990677027), np.float64(0.9788330764126043), np.float64(0.9556076325445488), np.float64(0.939402461522648))","('DyS', 'HDy', 'MAX', 'SORD', 'SMM', 'X', 'MS', 'ACC', 'PCC', 'CC', 'PACC')","[0.09801603 0.09740264 0.09705936 0.09596764 0.09582696 0.09576505
 0.095343   0.08949609 0.08390243 0.08156141 0.0696594 ]","(np.float64(1.088283369836052), np.float64(1.0814728278593913), np.float64(1.0776614236339206), np.float64(1.0655399085561945), np.float64(1.0639778576441168), np.float64(1.0632905552428022), np.float64(1.058604402506568), np.float64(0.9936855666006021), np.float64(0.9315784223363769), np.float64(0.9055858951593972), np.float64(0.7734363879975901))"
1535_volcanoes-b5,"('DyS', 'X', 'MAX', 'SORD', 'MS', 'SMM', 'HDy', 'ACC', 'PACC', 'PCC', 'CC')","[0.09821275 0.09804477 0.09783989 0.09755007 0.09667571 0.09658164
 0.09171137 0.09081618 0.07911482 0.07830019 0.07515261]","(np.float64(1.0924682839665423), np.float64(1.0905997638883314), np.float64(1.088320868796064), np.float64(1.0850970115418024), np.float64(1.075371122470325), np.float64(1.0743247261067523), np.float64(1.0201503500764026), np.float64(1.01019261512815), np.float64(0.8800327416405043), np.float64(0.8709711668221414), np.float64(0.8359591092425838))","('X', 'MAX', 'SMM', 'SORD', 'MS', 'ACC', 'DyS', 'PACC', 'HDy', 'PCC', 'CC')","[0.09613495 0.09601425 0.09593196 0.09584966 0.0953998  0.09516389
 0.09479083 0.09457687 0.08409274 0.07669185 0.07535322]","(np.float64(1.0652597412650302), np.float64(1.063922318774012), np.float64(1.063010439802864), np.float64(1.0620985608317153), np.float64(1.0571136224561029), np.float64(1.0544995694054775), np.float64(1.0503657180696035), np.float64(1.0479948327446176), np.float64(0.931821451820292), np.float64(0.8498131363483322), np.float64(0.8349799050843159))"
1538_volcanoes-d1,"('DyS', 'X', 'MAX', 'SORD', 'MS', 'SMM', 'HDy', 'ACC', 'PCC', 'PACC', 'CC')","[0.09951654 0.0990031  0.09872412 0.09844849 0.09740156 0.097153
 0.09363227 0.08994597 0.07775518 0.07453666 0.07388312]","(np.float64(1.108869059082708), np.float64(1.1031481125892615), np.float64(1.1000394858230358), np.float64(1.096968266681042), np.float64(1.085302866013046), np.float64(1.0825331669158385), np.float64(1.0433032319934057), np.float64(1.00222839472116), np.float64(0.8663918279906216), np.float64(0.8305293048633181), np.float64(0.8232471697511692))","('DyS', 'MAX', 'X', 'SORD', 'SMM', 'MS', 'HDy', 'ACC', 'PCC', 'CC', 'PACC')","[0.10080639 0.10013964 0.10005917 0.09967406 0.09874291 0.09830032
 0.09179949 0.08912673 0.07696425 0.0728143  0.07157276]","(np.float64(1.12572438319228), np.float64(1.1182786339018367), np.float64(1.117380008987473), np.float64(1.1130794468973029), np.float64(1.102681072888236), np.float64(1.0977386358592347), np.float64(1.0251425802774128), np.float64(0.9952953956217568), np.float64(0.8594746585650503), np.float64(0.8131312879814294), np.float64(0.799266789302673))"
1539_volcanoes-d2,"('DyS', 'X', 'MAX', 'SORD', 'MS', 'SMM', 'HDy', 'ACC', 'PCC', 'PACC', 'CC')","[0.0994579  0.09898091 0.09876484 0.09841015 0.09736866 0.09717158
 0.09316736 0.0898861  0.07776186 0.07505209 0.07397856]","(np.float64(1.1081849905681431), np.float64(1.1028702866868454), np.float64(1.1004627291205693), np.float64(1.0965107260880427), np.float64(1.0849062139838184), np.float64(1.0827102922307132), np.float64(1.0380941995726436), np.float64(1.0015335862230124), np.float64(0.866442279314615), np.float64(0.8362493266589229), np.float64(0.824287735638056))","('HDy', 'DyS', 'X', 'MAX', 'SORD', 'MS', 'SMM', 'ACC', 'PCC', 'CC', 'PACC')","[0.1005036  0.10020554 0.09936393 0.09891975 0.09743525 0.09683911
 0.09433183 0.08605605 0.07923554 0.07474113 0.07236827]","(np.float64(1.119789051379106), np.float64(1.1164680369855369), np.float64(1.107091055168401), np.float64(1.1021420925426904), np.float64(1.085602138504131), np.float64(1.0789601097169932), np.float64(1.0510245180534419), np.float64(0.9588175301849381), np.float64(0.8828249067085654), np.float64(0.8327492190878878), np.float64(0.8063113397979071))"
1540_volcanoes-d3,"('DyS', 'X', 'MAX', 'SORD', 'MS', 'SMM', 'HDy', 'ACC', 'PCC', 'PACC', 'CC')","[0.09952048 0.09902255 0.09878633 0.0985524  0.09746534 0.09739401
 0.09303432 0.09011417 0.07764491 0.07464581 0.07381969]","(np.float64(1.1090197505192223), np.float64(1.1034710547522362), np.float64(1.1008387522485785), np.float64(1.098231878319655), np.float64(1.0861180634880216), np.float64(1.085323158490228), np.float64(1.0367403927651777), np.float64(1.0041993044670943), np.float64(0.8652464741726812), np.float64(0.8318255344421354), np.float64(0.8226195503540552))","('SORD', 'DyS', 'SMM', 'X', 'MAX', 'MS', 'ACC', 'HDy', 'PCC', 'PACC', 'CC')","[0.09910769 0.09904519 0.09878948 0.09868152 0.09821556 0.09778371
 0.09306167 0.0908626  0.07673627 0.07471335 0.07300296]","(np.float64(1.1040972307201098), np.float64(1.1034008914352182), np.float64(1.1005522307242988), np.float64(1.099349462868577), np.float64(1.0941585700175676), np.float64(1.089347498594681), np.float64(1.0367422307996956), np.float64(1.0122437486857856), np.float64(0.8548710703003068), np.float64(0.832334998898364), np.float64(0.8132806239208783))"
1541_volcanoes-d4,"('DyS', 'X', 'MAX', 'SORD', 'MS', 'SMM', 'HDy', 'ACC', 'PCC', 'PACC', 'CC')","[0.09964626 0.09911948 0.09890432 0.09867909 0.09757275 0.09754958
 0.09295506 0.09010717 0.07745336 0.07439815 0.07361479]","(np.float64(1.110606405743529), np.float64(1.1047352109702038), np.float64(1.1023371795307029), np.float64(1.099826835646336), np.float64(1.0874961540779535), np.float64(1.0872378673593661), np.float64(1.036029728198849), np.float64(1.0042885577528713), np.float64(0.8632556335489343), np.float64(0.8292038270185947), np.float64(0.8204729692032295))","('MAX', 'X', 'DyS', 'SORD', 'SMM', 'HDy', 'MS', 'ACC', 'PCC', 'PACC', 'CC')","[0.10011471 0.09998056 0.0993215  0.09891324 0.0977351  0.09201353
 0.09089955 0.09072458 0.07822578 0.07780002 0.07427143]","(np.float64(1.1126994686758374), np.float64(1.1112085510053462), np.float64(1.103883607667717), np.float64(1.0993460321488315), np.float64(1.0862518856514765), np.float64(1.0226610058796677), np.float64(1.0102799069638517), np.float64(1.0083352317414724), np.float64(0.8694205983561656), np.float64(0.8646885553150423), np.float64(0.8254709383303898))"
1566_hill-valley,"('DyS', 'MS', 'HDy', 'SORD', 'SMM', 'ACC', 'MAX', 'X', 'PCC', 'CC', 'PACC')","[0.09415443 0.09399592 0.09394295 0.09388165 0.09319633 0.09318711
 0.09072216 0.09023632 0.08813263 0.08612679 0.08242371]","(np.float64(1.0400165044263336), np.float64(1.038265644806815), np.float64(1.0376805406907992), np.float64(1.037003460087218), np.float64(1.0294335302654147), np.float64(1.0293316547008797), np.float64(1.0021041019654344), np.float64(0.9967376271422963), np.float64(0.9735005272050974), np.float64(0.9513442869106411), np.float64(0.9104406510456171))","('DyS', 'HDy', 'SORD', 'ACC', 'SMM', 'MS', 'MAX', 'X', 'PCC', 'CC', 'PACC')","[0.09959834 0.09862934 0.09781514 0.09775207 0.09692641 0.0959574
 0.08793588 0.08793588 0.08682353 0.07993155 0.07069447]","(np.float64(1.1060616849805984), np.float64(1.0953006678874289), np.float64(1.0862588665428725), np.float64(1.085558445311956), np.float64(1.0763892946526874), np.float64(1.065628277559518), np.float64(0.9765474319184296), np.float64(0.9765474319184296), np.float64(0.9641945483913595), np.float64(0.8876576102494091), np.float64(0.785077737248842))"
182_satimage,"('SMM', 'SORD', 'MS', 'MAX', 'DyS', 'X', 'ACC', 'HDy', 'CC', 'PCC', 'PACC')","[0.09311052 0.09275605 0.09255569 0.09254632 0.09244232 0.09241226
 0.09174109 0.09034147 0.08747838 0.08732355 0.08729235]","(np.float64(1.0260320831868575), np.float64(1.022125994786181), np.float64(1.0199180953220766), np.float64(1.019814877578514), np.float64(1.0186688024536061), np.float64(1.0183376115270388), np.float64(1.0109416562674975), np.float64(0.9955184774212724), np.float64(0.9639687065120578), np.float64(0.9622625493654632), np.float64(0.9619187704935075))","('DyS', 'HDy', 'PACC', 'SMM', 'SORD', 'MS', 'ACC', 'MAX', 'CC', 'X', 'PCC')","[0.09125817 0.09120252 0.09115193 0.0910811  0.09102545 0.09102039
 0.09094451 0.09082814 0.09075226 0.09071684 0.09001867]","(np.float64(1.0038518786993218), np.float64(1.0032397097723902), np.float64(1.0026831925660884), np.float64(1.0019040684772662), np.float64(1.0012918995503344), np.float64(1.0012362478297043), np.float64(1.0004014720202516), np.float64(0.999121482445758), np.float64(0.9982867066363056), np.float64(0.9978971445918944), np.float64(0.9902172071449318))"
23_cmc,"('DyS', 'HDy', 'SORD', 'MAX', 'X', 'SMM', 'PCC', 'MS', 'ACC', 'CC', 'PACC')","[0.10024367 0.09958842 0.09924981 0.09898278 0.09883804 0.0986436
 0.08495991 0.08344496 0.08096688 0.07765874 0.07742319]","(np.float64(1.1146881192111624), np.float64(1.1074019756683142), np.float64(1.103636667375024), np.float64(1.1006673620431042), np.float64(1.0990578421220452), np.float64(1.0968957069365664), np.float64(0.9447360365792723), np.float64(0.9278901005012474), np.float64(0.900334390854226), np.float64(0.8635485510506484), np.float64(0.8609293200337488))","('HDy', 'DyS', 'MS', 'SMM', 'SORD', 'X', 'ACC', 'MAX', 'CC', 'PCC', 'PACC')","[0.09471465 0.09470327 0.09413443 0.09412874 0.09389552 0.09387276
 0.0935087  0.09299674 0.08580657 0.08454943 0.07768918]","(np.float64(1.0454892788832226), np.float64(1.0453636976434173), np.float64(1.0390846356531567), np.float64(1.039021845033254), np.float64(1.0364474296172475), np.float64(1.0361962671376366), np.float64(1.03217766746387), np.float64(1.0265265116726356), np.float64(0.9471591681157431), np.float64(0.9332824411172673), np.float64(0.8575569535147256))"
28_optdigits,"('SMM', 'MS', 'DyS', 'SORD', 'MAX', 'ACC', 'HDy', 'X', 'PACC', 'CC', 'PCC')","[0.09215065 0.09191185 0.09138064 0.09132306 0.09109316 0.09102177
 0.09094054 0.09091573 0.09038739 0.09009569 0.08877952]","(np.float64(1.0139223946441485), np.float64(1.01129488103042), np.float64(1.0054500329782186), np.float64(1.0048165073890578), np.float64(1.0022870175448522), np.float64(1.0015014974917564), np.float64(1.0006077226695758), np.float64(1.0003347436015277), np.float64(0.9945215202328658), np.float64(0.9913119244193075), np.float64(0.9768302757650875))","('SMM', 'SORD', 'MS', 'MAX', 'X', 'ACC', 'DyS', 'PACC', 'HDy', 'CC', 'PCC')","[0.09202168 0.09183687 0.0918266  0.09182147 0.09182147 0.09154425
 0.09152372 0.09037893 0.09011199 0.08913147 0.08798155]","(np.float64(1.0124237581972844), np.float64(1.0103904897521636), np.float64(1.010277530394101), np.float64(1.01022105071507), np.float64(1.01022105071507), np.float64(1.0071711480473886), np.float64(1.006945229331264), np.float64(0.9943502609073203), np.float64(0.9914133175977013), np.float64(0.980625698902754), np.float64(0.9679742507997793))"
