,quantifier,dataset,sample_size,real_prev,pred_prev,abs_error,run_time
59,MAX,AedesQuinx,100,0.26,0.19,0.036000000000000004,0.00019159999646944925
60,MS,AedesQuinx,100,0.26,0.19,0.026000000000000002,0.025081100000534207
61,PACC,AedesQuinx,100,0.26,0.19,0.045,0.0029147000022931024
62,PCC,AedesQuinx,100,0.26,0.19,0.13200000000000003,0.0025616000057198107
63,SMM,AedesQuinx,100,0.26,0.19,0.025,0.0001244000013684854
64,SORD,AedesQuinx,100,0.26,0.19,0.029000000000000005,1.3722242000003462
65,X,AedesQuinx,100,0.26,0.19,0.041999999999999996,0.00036920000275131315
66,ACC,AedesQuinx,100,0.32,0.29,0.052000000000000005,0.00025800000003073364
67,CC,AedesQuinx,100,0.32,0.29,0.07400000000000001,5.199995939619839e-06
68,DyS,AedesQuinx,100,0.32,0.29,0.045,0.049455799999122974
69,HDy,AedesQuinx,100,0.32,0.29,0.071,0.2207750000015949
70,MAX,AedesQuinx,100,0.32,0.29,0.044000000000000004,0.00018760000239126384
71,MS,AedesQuinx,100,0.32,0.29,0.044,0.025359599996590987
72,PACC,AedesQuinx,100,0.32,0.29,0.033,0.0029456999982357956
73,PCC,AedesQuinx,100,0.32,0.29,0.097,0.0025973999945563264
74,SMM,AedesQuinx,100,0.32,0.29,0.047,0.0001269999993382953
75,SORD,AedesQuinx,100,0.32,0.29,0.045,1.3694218000018736
76,X,AedesQuinx,100,0.32,0.29,0.05000000000000001,0.00036380000528879464
77,ACC,AedesQuinx,100,0.37,0.25,0.05800000000000001,0.00025469999673077837
78,CC,AedesQuinx,100,0.37,0.25,0.05700000000000001,5.099995178170502e-06
79,DyS,AedesQuinx,100,0.37,0.25,0.044,0.04929930000071181
80,HDy,AedesQuinx,100,0.37,0.25,0.07200000000000001,0.21843950000038603
81,MAX,AedesQuinx,100,0.37,0.25,0.049,0.00018909999926108867
82,MS,AedesQuinx,100,0.37,0.25,0.046,0.024838199999067
83,PACC,AedesQuinx,100,0.37,0.25,0.029000000000000005,0.0029243999961181544
84,PCC,AedesQuinx,100,0.37,0.25,0.069,0.0025697000019135885
85,SMM,AedesQuinx,100,0.37,0.25,0.045,0.0001246999963768758
86,SORD,AedesQuinx,100,0.37,0.25,0.048,1.3738191999946139
87,X,AedesQuinx,100,0.37,0.25,0.05600000000000001,0.00036410000029718503
88,ACC,AedesQuinx,100,0.42,0.37,0.041999999999999996,0.00025099999766098335
89,CC,AedesQuinx,100,0.42,0.37,0.038,5.199995939619839e-06
90,DyS,AedesQuinx,100,0.42,0.37,0.030000000000000006,0.04795000000012806
91,HDy,AedesQuinx,100,0.42,0.37,0.037,0.217379500005336
92,MAX,AedesQuinx,100,0.42,0.37,0.038000000000000006,0.00018629999976838008
93,MS,AedesQuinx,100,0.42,0.37,0.037,0.024807499998132698
94,PACC,AedesQuinx,100,0.42,0.37,0.019,0.0028795000034733675
95,PCC,AedesQuinx,100,0.42,0.37,0.038,0.0025203999975929037
96,SMM,AedesQuinx,100,0.42,0.37,0.030999999999999993,0.00011870000162161887
97,SORD,AedesQuinx,100,0.42,0.37,0.030999999999999993,1.3214535000006435
98,X,AedesQuinx,100,0.42,0.37,0.045,0.0003524999992805533
99,ACC,AedesQuinx,100,0.47,0.32,0.043000000000000003,0.0002596000049379654
100,CC,AedesQuinx,100,0.47,0.32,0.031999999999999994,5.399997462518513e-06
101,DyS,AedesQuinx,100,0.47,0.32,0.041,0.04888589999609394
102,HDy,AedesQuinx,100,0.47,0.32,0.05600000000000001,0.2229384000020218
103,MAX,AedesQuinx,100,0.47,0.32,0.044000000000000004,0.00019440000323811546
104,MS,AedesQuinx,100,0.47,0.32,0.049,0.0255403999981354
105,PACC,AedesQuinx,100,0.47,0.32,0.042,0.002942899998743087
106,PCC,AedesQuinx,100,0.47,0.32,0.020999999999999998,0.002588900002592709
107,SMM,AedesQuinx,100,0.47,0.32,0.052000000000000005,0.0001221999991685152
108,SORD,AedesQuinx,100,0.47,0.32,0.044000000000000004,1.344336399997701
109,X,AedesQuinx,100,0.47,0.32,0.046000000000000006,0.0003606000027502887
110,ACC,AedesQuinx,100,0.53,0.52,0.037,0.0002523000002838671
111,CC,AedesQuinx,100,0.53,0.52,0.022000000000000002,5.199995939619839e-06
112,DyS,AedesQuinx,100,0.53,0.52,0.04800000000000001,0.047863400002825074
113,HDy,AedesQuinx,100,0.53,0.52,0.054000000000000006,0.2144490999999107
114,MAX,AedesQuinx,100,0.53,0.52,0.038,0.0001799000019673258
115,MS,AedesQuinx,100,0.53,0.52,0.054000000000000006,0.02407630000379868
116,PACC,AedesQuinx,100,0.53,0.52,0.046000000000000006,0.0027982999963569455
117,PCC,AedesQuinx,100,0.53,0.52,0.025,0.0024634000001242384
118,SMM,AedesQuinx,100,0.53,0.52,0.051000000000000004,0.00011280000035185367
119,SORD,AedesQuinx,100,0.53,0.52,0.046000000000000006,1.3105891000013798
120,X,AedesQuinx,100,0.53,0.52,0.03200000000000001,0.0003507999936118722
121,ACC,AedesQuinx,100,0.58,0.51,0.06800000000000002,0.00024960000155260786
122,CC,AedesQuinx,100,0.58,0.51,0.052000000000000005,5.000001692678779e-06
123,DyS,AedesQuinx,100,0.58,0.51,0.067,0.04742090000218013
124,HDy,AedesQuinx,100,0.58,0.51,0.072,0.2128309000036097
125,MAX,AedesQuinx,100,0.58,0.51,0.073,0.00017870000010589138
126,MS,AedesQuinx,100,0.58,0.51,0.06899999999999999,0.02462849999574246
127,PACC,AedesQuinx,100,0.58,0.51,0.08,0.002867200004402548
128,PCC,AedesQuinx,100,0.58,0.51,0.065,0.0024760999949648976
129,SMM,AedesQuinx,100,0.58,0.51,0.06799999999999999,0.00011729999823728576
130,SORD,AedesQuinx,100,0.58,0.51,0.066,1.2998358999975608
131,X,AedesQuinx,100,0.58,0.51,0.08,0.00034299999970244244
132,ACC,AedesQuinx,100,0.63,0.73,0.05,0.0002486000012140721
133,CC,AedesQuinx,100,0.63,0.73,0.041,4.999994416721165e-06
134,DyS,AedesQuinx,100,0.63,0.73,0.048,0.04720609999640146
135,HDy,AedesQuinx,100,0.63,0.73,0.083,0.21403420000569895
136,MAX,AedesQuinx,100,0.63,0.73,0.051000000000000004,0.00017720000323606655
137,MS,AedesQuinx,100,0.63,0.73,0.05,0.023954399999638554
138,PACC,AedesQuinx,100,0.63,0.73,0.06200000000000001,0.0028621999954339117
139,PCC,AedesQuinx,100,0.63,0.73,0.072,0.0024619000032544136
140,SMM,AedesQuinx,100,0.63,0.73,0.048,0.00011780000204453245
141,SORD,AedesQuinx,100,0.63,0.73,0.049,1.30073529999936
142,X,AedesQuinx,100,0.63,0.73,0.048,0.0003460000007180497
143,ACC,AedesQuinx,100,0.68,0.68,0.029000000000000005,0.00025150000146823004
144,CC,AedesQuinx,100,0.68,0.68,0.05900000000000001,5.100002454128116e-06
145,DyS,AedesQuinx,100,0.68,0.68,0.030000000000000006,0.04821210000227438
146,HDy,AedesQuinx,100,0.68,0.68,0.041,0.2124989999938407
147,MAX,AedesQuinx,100,0.68,0.68,0.023,0.0001807000007829629
148,MS,AedesQuinx,100,0.68,0.68,0.03,0.02432290000433568
149,PACC,AedesQuinx,100,0.68,0.68,0.08399999999999999,0.002802800001518335
150,PCC,AedesQuinx,100,0.68,0.68,0.10300000000000001,0.002521599999454338
151,SMM,AedesQuinx,100,0.68,0.68,0.033,0.00011690000246744603
152,SORD,AedesQuinx,100,0.68,0.68,0.028999999999999998,1.3015098000032594
153,X,AedesQuinx,100,0.68,0.68,0.021,0.00034329999471083283
154,ACC,AedesQuinx,100,0.74,0.7,0.054000000000000006,0.0002514000007067807
155,CC,AedesQuinx,100,0.74,0.7,0.076,5.000001692678779e-06
156,DyS,AedesQuinx,100,0.74,0.7,0.034,0.04764219999924535
157,HDy,AedesQuinx,100,0.74,0.7,0.05600000000000001,0.21199809999961872
158,MAX,AedesQuinx,100,0.74,0.7,0.05800000000000001,0.00017040000238921493
159,MS,AedesQuinx,100,0.74,0.7,0.026000000000000002,0.023900300002424046
160,PACC,AedesQuinx,100,0.74,0.7,0.10600000000000001,0.0028044999999110587
161,PCC,AedesQuinx,100,0.74,0.7,0.13999999999999999,0.002447299993946217
162,SMM,AedesQuinx,100,0.74,0.7,0.029000000000000005,0.00011420000373618677
163,SORD,AedesQuinx,100,0.74,0.7,0.031000000000000007,1.2973647999970126
164,X,AedesQuinx,100,0.74,0.7,0.054000000000000006,0.00034639999648788944
165,ACC,AedesQuinx,100,0.79,0.78,0.039,0.0002482999989297241
166,CC,AedesQuinx,100,0.79,0.78,0.098,5.099995178170502e-06
167,DyS,AedesQuinx,100,0.79,0.78,0.024,0.04787930000020424
168,HDy,AedesQuinx,100,0.79,0.78,0.046,0.21360289999574888
169,MAX,AedesQuinx,100,0.79,0.78,0.037000000000000005,0.0001771000024746172
170,MS,AedesQuinx,100,0.79,0.78,0.020000000000000004,0.024381200004427228
171,PACC,AedesQuinx,100,0.79,0.78,0.12600000000000003,0.002851800003554672
172,PCC,AedesQuinx,100,0.79,0.78,0.16999999999999998,0.0025251999977626838
173,SMM,AedesQuinx,100,0.79,0.78,0.018000000000000002,0.00011660000018309802
174,SORD,AedesQuinx,100,0.79,0.78,0.022,1.295742499998596
175,X,AedesQuinx,100,0.79,0.78,0.035,0.00033999999868683517
176,ACC,AedesQuinx,100,0.84,0.86,0.029000000000000005,0.0002457000009599142
177,CC,AedesQuinx,100,0.84,0.86,0.10800000000000001,4.999994416721165e-06
178,DyS,AedesQuinx,100,0.84,0.86,0.025,0.04738480000378331
179,HDy,AedesQuinx,100,0.84,0.86,0.057999999999999996,0.21398020000196993
180,MAX,AedesQuinx,100,0.84,0.86,0.05900000000000001,0.00018049999926006421
181,MS,AedesQuinx,100,0.84,0.86,0.029000000000000005,0.02423830000043381
182,PACC,AedesQuinx,100,0.84,0.86,0.12799999999999997,0.002798699999402743
183,PCC,AedesQuinx,100,0.84,0.86,0.192,0.0024788000009721145
184,SMM,AedesQuinx,100,0.84,0.86,0.031,0.0001157000006060116
185,SORD,AedesQuinx,100,0.84,0.86,0.03200000000000001,1.3031658999971114
186,X,AedesQuinx,100,0.84,0.86,0.04800000000000001,0.00034619999496499076
187,ACC,AedesQuinx,100,0.89,0.9,0.045,0.0002458000017213635
188,CC,AedesQuinx,100,0.89,0.9,0.11400000000000002,5.100002454128116e-06
189,DyS,AedesQuinx,100,0.89,0.9,0.036,0.04765390000102343
190,HDy,AedesQuinx,100,0.89,0.9,0.05500000000000001,0.2128448000003118
191,MAX,AedesQuinx,100,0.89,0.9,0.052000000000000005,0.0001756999990902841
192,MS,AedesQuinx,100,0.89,0.9,0.03200000000000001,0.023891899996669963
193,PACC,AedesQuinx,100,0.89,0.9,0.144,0.002843499998562038
194,PCC,AedesQuinx,100,0.89,0.9,0.221,0.0024660999988554977
195,SMM,AedesQuinx,100,0.89,0.9,0.03500000000000001,0.0001148999945144169
196,SORD,AedesQuinx,100,0.89,0.9,0.039,1.303246700001182
197,X,AedesQuinx,100,0.89,0.9,0.05,0.0003412000005482696
198,ACC,AedesQuinx,100,0.95,0.92,0.031000000000000007,0.00025150000146823004
199,CC,AedesQuinx,100,0.95,0.92,0.16699999999999998,5.199995939619839e-06
200,DyS,AedesQuinx,100,0.95,0.92,0.023,0.04850840000290191
201,HDy,AedesQuinx,100,0.95,0.92,0.037,0.21336519999749726
202,MAX,AedesQuinx,100,0.95,0.92,0.037000000000000005,0.00018010000349022448
203,MS,AedesQuinx,100,0.95,0.92,0.038000000000000006,0.024814999997033738
204,PACC,AedesQuinx,100,0.95,0.92,0.175,0.002884599998651538
205,PCC,AedesQuinx,100,0.95,0.92,0.261,0.002529600002162624
206,SMM,AedesQuinx,100,0.95,0.92,0.046,0.00012129999959142879
207,SORD,AedesQuinx,100,0.95,0.92,0.036000000000000004,1.3012630000011995
208,X,AedesQuinx,100,0.95,0.92,0.034999999999999996,0.00034809999488061294
209,ACC,AedesQuinx,100,1.0,1.0,0.009,0.0002609000002848916
210,CC,AedesQuinx,100,1.0,1.0,0.14999999999999997,5.200003215577453e-06
211,DyS,AedesQuinx,100,1.0,1.0,0.006,0.04916699999739649
212,HDy,AedesQuinx,100,1.0,1.0,0.0,0.2210447000034037
213,MAX,AedesQuinx,100,1.0,1.0,0.01,0.00019079999765381217
214,MS,AedesQuinx,100,1.0,1.0,0.011,0.02525949999835575
215,PACC,AedesQuinx,100,1.0,1.0,0.176,0.002948300003481563
216,PCC,AedesQuinx,100,1.0,1.0,0.27999999999999997,0.0025817000059760176
217,SMM,AedesQuinx,100,1.0,1.0,0.013999999999999999,0.00012520000018412247
218,SORD,AedesQuinx,100,1.0,1.0,0.012,1.3801976000031573
219,X,AedesQuinx,100,1.0,1.0,0.009,0.0003729999953065999
0,ACC,AedesSex,100,0.0,0.01,0.009,0.0002539999986765906
1,CC,AedesSex,100,0.0,0.01,0.019,5.199995939619839e-06
2,DyS,AedesSex,100,0.0,0.01,0.001,0.04819639999914216
3,HDy,AedesSex,100,0.0,0.01,0.001,0.21838479999860283
4,MAX,AedesSex,100,0.0,0.01,0.012,0.00019449999672360718
5,MS,AedesSex,100,0.0,0.01,0.003,0.025031799996213522
6,PACC,AedesSex,100,0.0,0.01,0.044,0.0029508000006899238
7,PCC,AedesSex,100,0.0,0.01,0.053000000000000005,0.0025658999948063865
8,SMM,AedesSex,100,0.0,0.01,0.006,0.00012630000128410757
9,SORD,AedesSex,100,0.0,0.01,0.004,1.3763762000016868
10,X,AedesSex,100,0.0,0.01,0.013000000000000001,0.00036860000545857474
11,ACC,AedesSex,100,0.05,0.07,0.007000000000000001,0.00025800000003073364
12,CC,AedesSex,100,0.05,0.07,0.005,5.200003215577453e-06
13,DyS,AedesSex,100,0.05,0.07,0.002,0.04806010000174865
14,HDy,AedesSex,100,0.05,0.07,0.012,0.21869069999956992
15,MAX,AedesSex,100,0.05,0.07,0.005,0.0001899999988381751
16,MS,AedesSex,100,0.05,0.07,0.007000000000000001,0.025384200002008583
17,PACC,AedesSex,100,0.05,0.07,0.034,0.0029719000012846664
18,PCC,AedesSex,100,0.05,0.07,0.03900000000000001,0.002606299996841699
19,SMM,AedesSex,100,0.05,0.07,0.01,0.0001281000004382804
20,SORD,AedesSex,100,0.05,0.07,0.005,1.3793596000032267
21,X,AedesSex,100,0.05,0.07,0.015,0.00037030000385129824
22,ACC,AedesSex,100,0.11,0.11,0.016,0.0002564000023994595
23,CC,AedesSex,100,0.11,0.11,0.015,5.199995939619839e-06
24,DyS,AedesSex,100,0.11,0.11,0.006999999999999999,0.048136200006410945
25,HDy,AedesSex,100,0.11,0.11,0.008,0.21817569999984698
26,MAX,AedesSex,100,0.11,0.11,0.013000000000000001,0.00019189999875379726
27,MS,AedesSex,100,0.11,0.11,0.01,0.02532749999954831
28,PACC,AedesSex,100,0.11,0.11,0.038,0.0029900000008638017
29,PCC,AedesSex,100,0.11,0.11,0.041999999999999996,0.002592799995909445
30,SMM,AedesSex,100,0.11,0.11,0.012,0.00012680000509135425
31,SORD,AedesSex,100,0.11,0.11,0.008,1.355045500000415
32,X,AedesSex,100,0.11,0.11,0.015,0.00036839999665971845
33,ACC,AedesSex,100,0.16,0.18,0.016000000000000004,0.0002542000001994893
34,CC,AedesSex,100,0.16,0.18,0.016000000000000004,5.100002454128116e-06
35,DyS,AedesSex,100,0.16,0.18,0.011000000000000001,0.04813979999744333
36,HDy,AedesSex,100,0.16,0.18,0.016000000000000004,0.2179325000033714
37,MAX,AedesSex,100,0.16,0.18,0.016,0.00019099999917671084
38,MS,AedesSex,100,0.16,0.18,0.01,0.025105499997152947
39,PACC,AedesSex,100,0.16,0.18,0.03200000000000001,0.0029412000003503636
40,PCC,AedesSex,100,0.16,0.18,0.03400000000000001,0.0026005999970948324
41,SMM,AedesSex,100,0.16,0.18,0.011000000000000001,0.00012409999908413738
42,SORD,AedesSex,100,0.16,0.18,0.012,1.3606597000034526
43,X,AedesSex,100,0.16,0.18,0.017,0.0003586000020732172
44,ACC,AedesSex,100,0.21,0.21,0.009999999999999998,0.0002544999952078797
45,CC,AedesSex,100,0.21,0.21,0.009999999999999998,5.000001692678779e-06
46,DyS,AedesSex,100,0.21,0.21,0.006999999999999999,0.04802360000030603
47,HDy,AedesSex,100,0.21,0.21,0.006,0.21575360000133514
48,MAX,AedesSex,100,0.21,0.21,0.011999999999999999,0.00018930000078398734
49,MS,AedesSex,100,0.21,0.21,0.007000000000000001,0.025052799996046815
50,PACC,AedesSex,100,0.21,0.21,0.03300000000000001,0.002937099998234771
51,PCC,AedesSex,100,0.21,0.21,0.03300000000000001,0.002578499996161554
52,SMM,AedesSex,100,0.21,0.21,0.007000000000000001,0.00012310000602155924
53,SORD,AedesSex,100,0.21,0.21,0.007000000000000001,1.3530154000036418
54,X,AedesSex,100,0.21,0.21,0.012,0.00036040000122739
55,ACC,AedesSex,100,0.26,0.26,0.008,0.00025910000113071874
56,CC,AedesSex,100,0.26,0.26,0.008,5.000001692678779e-06
57,DyS,AedesSex,100,0.26,0.26,0.006,0.04807299999811221
58,HDy,AedesSex,100,0.26,0.26,0.009,0.21854739999980666
59,MAX,AedesSex,100,0.26,0.26,0.007000000000000001,0.00019309999333927408
60,MS,AedesSex,100,0.26,0.26,0.007000000000000001,0.02511650000087684
61,PACC,AedesSex,100,0.26,0.26,0.027000000000000003,0.002954800002044067
62,PCC,AedesSex,100,0.26,0.26,0.026000000000000002,0.0025865000061457977
63,SMM,AedesSex,100,0.26,0.26,0.008,0.0001250000059371814
64,SORD,AedesSex,100,0.26,0.26,0.007000000000000001,1.3598685000033583
65,X,AedesSex,100,0.26,0.26,0.012,0.0003595999951357953
66,ACC,AedesSex,100,0.32,0.3,0.009,0.0002564000023994595
67,CC,AedesSex,100,0.32,0.3,0.009,5.100002454128116e-06
68,DyS,AedesSex,100,0.32,0.3,0.006,0.047507499999483116
69,HDy,AedesSex,100,0.32,0.3,0.007000000000000001,0.21526660000381526
70,MAX,AedesSex,100,0.32,0.3,0.009,0.0001903000011225231
71,MS,AedesSex,100,0.32,0.3,0.007999999999999998,0.024962200004665647
72,PACC,AedesSex,100,0.32,0.3,0.020999999999999998,0.0029155000011087395
73,PCC,AedesSex,100,0.32,0.3,0.018000000000000002,0.002590699994470924
74,SMM,AedesSex,100,0.32,0.3,0.007000000000000001,0.00012409999908413738
75,SORD,AedesSex,100,0.32,0.3,0.007999999999999998,1.34891599999537
76,X,AedesSex,100,0.32,0.3,0.008,0.00036919999547535554
77,ACC,AedesSex,100,0.37,0.36,0.013000000000000001,0.0002552999940235168
78,CC,AedesSex,100,0.37,0.36,0.008,4.900000931229442e-06
79,DyS,AedesSex,100,0.37,0.36,0.008,0.047691200001281686
80,HDy,AedesSex,100,0.37,0.36,0.007000000000000001,0.2151159999993979
81,MAX,AedesSex,100,0.37,0.36,0.008,0.00019270000484539196
82,MS,AedesSex,100,0.37,0.36,0.008,0.02510249999613734
83,PACC,AedesSex,100,0.37,0.36,0.016,0.0029228999992483296
84,PCC,AedesSex,100,0.37,0.36,0.011,0.0025899000029312447
85,SMM,AedesSex,100,0.37,0.36,0.008,0.00012370000331429765
86,SORD,AedesSex,100,0.37,0.36,0.008,1.3409043999999994
87,X,AedesSex,100,0.37,0.36,0.016,0.00036330000148154795
88,ACC,AedesSex,100,0.42,0.44,0.015,0.0002583999958005734
89,CC,AedesSex,100,0.42,0.44,0.013000000000000001,4.900000931229442e-06
90,DyS,AedesSex,100,0.42,0.44,0.012,0.04765909999696305
91,HDy,AedesSex,100,0.42,0.44,0.013000000000000001,0.21718289999989793
92,MAX,AedesSex,100,0.42,0.44,0.011,0.000192299994523637
93,MS,AedesSex,100,0.42,0.44,0.012,0.02522779999708291
94,PACC,AedesSex,100,0.42,0.44,0.016,0.00295429999823682
95,PCC,AedesSex,100,0.42,0.44,0.013000000000000001,0.002601599997433368
96,SMM,AedesSex,100,0.42,0.44,0.015000000000000003,0.00012620000052265823
97,SORD,AedesSex,100,0.42,0.44,0.012,1.3372478999954183
98,X,AedesSex,100,0.42,0.44,0.015,0.0003656999979284592
99,ACC,AedesSex,100,0.47,0.47,0.012,0.000258100000792183
100,CC,AedesSex,100,0.47,0.47,0.01,4.799992893822491e-06
101,DyS,AedesSex,100,0.47,0.47,0.014000000000000002,0.04806770000141114
102,HDy,AedesSex,100,0.47,0.47,0.014000000000000002,0.21631980000529438
103,MAX,AedesSex,100,0.47,0.47,0.012,0.00019149999570799991
104,MS,AedesSex,100,0.47,0.47,0.012,0.025131500005954877
105,PACC,AedesSex,100,0.47,0.47,0.016,0.0029345000002649613
106,PCC,AedesSex,100,0.47,0.47,0.012,0.0025861000031000003
107,SMM,AedesSex,100,0.47,0.47,0.012,0.00012599999899975955
108,SORD,AedesSex,100,0.47,0.47,0.013000000000000001,1.3474312999969698
109,X,AedesSex,100,0.47,0.47,0.012,0.0003572999994503334
110,ACC,AedesSex,100,0.53,0.53,0.019,0.00025889999960782006
111,CC,AedesSex,100,0.53,0.53,0.019,5.099995178170502e-06
112,DyS,AedesSex,100,0.53,0.53,0.016000000000000004,0.0480461999977706
113,HDy,AedesSex,100,0.53,0.53,0.015,0.21669349999865517
114,MAX,AedesSex,100,0.53,0.53,0.022,0.00019150000298395753
115,MS,AedesSex,100,0.53,0.53,0.014000000000000002,0.025003100003232248
116,PACC,AedesSex,100,0.53,0.53,0.019,0.002929200003563892
117,PCC,AedesSex,100,0.53,0.53,0.014000000000000002,0.002602599997771904
118,SMM,AedesSex,100,0.53,0.53,0.017000000000000005,0.0001244000013684854
119,SORD,AedesSex,100,0.53,0.53,0.017,1.3471056000053068
120,X,AedesSex,100,0.53,0.53,0.015000000000000003,0.0003595000016503036
121,ACC,AedesSex,100,0.58,0.54,0.01,0.00025680000544525683
122,CC,AedesSex,100,0.58,0.54,0.013999999999999999,5.199995939619839e-06
123,DyS,AedesSex,100,0.58,0.54,0.011,0.047846300003584474
124,HDy,AedesSex,100,0.58,0.54,0.016,0.21652789999643574
125,MAX,AedesSex,100,0.58,0.54,0.01,0.00018880000425269827
126,MS,AedesSex,100,0.58,0.54,0.01,0.025122899998677894
127,PACC,AedesSex,100,0.58,0.54,0.01,0.0029309000019566156
128,PCC,AedesSex,100,0.58,0.54,0.013000000000000001,0.0025960999992094003
129,SMM,AedesSex,100,0.58,0.54,0.01,0.00012430000060703605
130,SORD,AedesSex,100,0.58,0.54,0.008,1.34341570000106
131,X,AedesSex,100,0.58,0.54,0.013999999999999999,0.0003572999994503334
132,ACC,AedesSex,100,0.63,0.62,0.015,0.00025549999554641545
133,CC,AedesSex,100,0.63,0.62,0.021,4.999994416721165e-06
134,DyS,AedesSex,100,0.63,0.62,0.007000000000000001,0.04796599999826867
135,HDy,AedesSex,100,0.63,0.62,0.015000000000000003,0.2162127999981749
136,MAX,AedesSex,100,0.63,0.62,0.01,0.00018730000010691583
137,MS,AedesSex,100,0.63,0.62,0.009,0.025099200000113342
138,PACC,AedesSex,100,0.63,0.62,0.006999999999999999,0.002909999995608814
