dataset,predicted_ranking,true_ranking,predicted_ranking_error,true_ranking_error
eeg,"['SMM', 'SORD', 'DyS', 'X', 'MAX', 'HDy', 'PCC', 'ACC', 'MS', 'PACC', 'CC']","['HDy', 'SORD', 'DyS', 'SMM', 'PACC', 'PCC', 'MAX', 'X', 'ACC', 'CC', 'MS']","[np.float64(0.07288699999999997), np.float64(0.0772035), np.float64(0.08259900000000008), np.float64(0.08331650000000002), np.float64(0.08761300000000002), np.float64(0.09276599999999995), np.float64(0.1988530000000001), np.float64(0.23198850000000001), np.float64(0.2538315000000001), np.float64(0.3094644999999999), np.float64(0.34847850000000025)]","[np.float64(0.19845), np.float64(0.22195), np.float64(0.22475), np.float64(0.2407), np.float64(0.2613999999999999), np.float64(0.2613999999999999), np.float64(0.28635), np.float64(0.28635), np.float64(0.49985), np.float64(0.49985), np.float64(0.49985)]"
jm1-processed,"['SMM', 'X', 'HDy', 'DyS', 'SORD', 'MAX', 'PCC', 'MS', 'ACC', 'PACC', 'CC']","['DyS', 'SORD', 'MAX', 'SMM', 'X', 'HDy', 'MS', 'ACC', 'PCC', 'CC', 'PACC']","[np.float64(0.08256499999999997), np.float64(0.11504499999999998), np.float64(0.11512099999999993), np.float64(0.121004), np.float64(0.12172049999999994), np.float64(0.1349160000000001), np.float64(0.22857250000000004), np.float64(0.2873665000000001), np.float64(0.30086749999999995), np.float64(0.31584049999999997), np.float64(0.332807)]","[np.float64(0.0952), np.float64(0.10965), np.float64(0.11005), np.float64(0.116), np.float64(0.11835), np.float64(0.1266), np.float64(0.17655), np.float64(0.2076), np.float64(0.3255), np.float64(0.46215), np.float64(0.5)]"
letter-recognition,"['SMM', 'HDy', 'DyS', 'SORD', 'X', 'MAX', 'PCC', 'PACC', 'ACC', 'CC', 'MS']","['DyS', 'SORD', 'SMM', 'MAX', 'X', 'HDy', 'MS', 'ACC', 'PCC', 'CC', 'PACC']","[np.float64(0.08882149999999996), np.float64(0.09938799999999995), np.float64(0.11721800000000003), np.float64(0.12167999999999993), np.float64(0.12649999999999995), np.float64(0.13746900000000004), np.float64(0.2018135), np.float64(0.3128054999999999), np.float64(0.3194644999999999), np.float64(0.3211520000000001), np.float64(0.32635599999999976)]","[np.float64(0.0766), np.float64(0.0804), np.float64(0.08505), np.float64(0.08715), np.float64(0.08715), np.float64(0.0994), np.float64(0.14025), np.float64(0.2047), np.float64(0.31205), np.float64(0.4474), np.float64(0.5)]"
magic,"['SMM', 'DyS', 'HDy', 'SORD', 'X', 'MAX', 'PCC', 'ACC', 'MS', 'CC', 'PACC']","['DyS', 'SMM', 'SORD', 'MS', 'MAX', 'X', 'ACC', 'HDy', 'PACC', 'CC', 'PCC']","[np.float64(0.10314449999999986), np.float64(0.11391549999999999), np.float64(0.1148284999999999), np.float64(0.11645049999999994), np.float64(0.11735599999999996), np.float64(0.13807000000000003), np.float64(0.21533949999999996), np.float64(0.2850089999999998), np.float64(0.3081854999999999), np.float64(0.33570250000000024), np.float64(0.36173149999999993)]","[np.float64(0.04795), np.float64(0.0539), np.float64(0.05455), np.float64(0.05525), np.float64(0.0581), np.float64(0.0581), np.float64(0.0635), np.float64(0.0836), np.float64(0.1349), np.float64(0.18445), np.float64(0.1845)]"
mozilla,"['HDy', 'SMM', 'SORD', 'X', 'DyS', 'MAX', 'PCC', 'MS', 'ACC', 'CC', 'PACC']","['DyS', 'SORD', 'MS', 'X', 'MAX', 'SMM', 'ACC', 'HDy', 'CC', 'PACC', 'PCC']","[np.float64(0.09438049999999999), np.float64(0.09780849999999995), np.float64(0.10926749999999999), np.float64(0.12130349999999993), np.float64(0.12523450000000003), np.float64(0.14429100000000003), np.float64(0.23785100000000015), np.float64(0.30420499999999995), np.float64(0.30631949999999986), np.float64(0.3117905000000002), np.float64(0.3306834999999999)]","[np.float64(0.0388), np.float64(0.0398), np.float64(0.04005), np.float64(0.0422499999999999), np.float64(0.0427499999999999), np.float64(0.0431), np.float64(0.04495), np.float64(0.04695), np.float64(0.09585), np.float64(0.13705), np.float64(0.18055)]"
namao,"['SMM', 'SORD', 'HDy', 'DyS', 'X', 'MAX', 'PCC', 'ACC', 'CC', 'MS', 'PACC']","['DyS', 'MS', 'SORD', 'SMM', 'ACC', 'X', 'MAX', 'HDy', 'PACC', 'CC', 'PCC']","[np.float64(0.09101699999999995), np.float64(0.1031624999999999), np.float64(0.12157899999999991), np.float64(0.12164850000000005), np.float64(0.12236299999999999), np.float64(0.14130450000000003), np.float64(0.24881800000000012), np.float64(0.3183624999999999), np.float64(0.3403405000000002), np.float64(0.3449059999999999), np.float64(0.3524135)]","[np.float64(0.01545), np.float64(0.0167), np.float64(0.017), np.float64(0.0178), np.float64(0.01975), np.float64(0.02015), np.float64(0.02065), np.float64(0.02275), np.float64(0.02515), np.float64(0.0447), np.float64(0.0615)]"
occupancy,"['SMM', 'HDy', 'SORD', 'MAX', 'DyS', 'X', 'PCC', 'ACC', 'MS', 'CC', 'PACC']","['ACC', 'DyS', 'SORD', 'MAX', 'MS', 'CC', 'X', 'SMM', 'HDy', 'PCC', 'PACC']","[np.float64(0.09086199999999998), np.float64(0.1054004999999999), np.float64(0.11156949999999996), np.float64(0.126999), np.float64(0.12724799999999997), np.float64(0.13032249999999998), np.float64(0.212056), np.float64(0.2872534999999999), np.float64(0.28814999999999996), np.float64(0.3349900000000002), np.float64(0.3470395)]","[np.float64(0.0075499999999999), np.float64(0.0075499999999999), np.float64(0.0078), np.float64(0.00785), np.float64(0.00795), np.float64(0.00915), np.float64(0.0096), np.float64(0.01015), np.float64(0.0182), np.float64(0.0294), np.float64(0.0306)]"
phoneme,"['SMM', 'SORD', 'X', 'HDy', 'DyS', 'MAX', 'PCC', 'ACC', 'MS', 'PACC', 'CC']","['DyS', 'SORD', 'MAX', 'SMM', 'X', 'HDy', 'MS', 'ACC', 'PACC', 'PCC', 'CC']","[np.float64(0.0885064999999999), np.float64(0.11232649999999991), np.float64(0.11467299999999993), np.float64(0.11895749999999994), np.float64(0.12584550000000003), np.float64(0.1460785000000001), np.float64(0.21407550000000009), np.float64(0.28453799999999985), np.float64(0.30881149999999985), np.float64(0.34563149999999987), np.float64(0.34944200000000025)]","[np.float64(0.0467), np.float64(0.0521), np.float64(0.058), np.float64(0.058), np.float64(0.0601), np.float64(0.0685), np.float64(0.07965), np.float64(0.0975999999999999), np.float64(0.1704), np.float64(0.23115), np.float64(0.2555)]"
spambase,"['SMM', 'HDy', 'SORD', 'DyS', 'X', 'MAX', 'PCC', 'ACC', 'CC', 'MS', 'PACC']","['DyS', 'SORD', 'MAX', 'MS', 'SMM', 'X', 'ACC', 'HDy', 'PACC', 'CC', 'PCC']","[np.float64(0.09236599999999993), np.float64(0.1114974999999999), np.float64(0.11428799999999993), np.float64(0.11656849999999999), np.float64(0.11815049999999998), np.float64(0.1428495), np.float64(0.22622650000000002), np.float64(0.3083109999999999), np.float64(0.32417450000000014), np.float64(0.36153899999999983), np.float64(0.3749865)]","[np.float64(0.02555), np.float64(0.0265), np.float64(0.02665), np.float64(0.02845), np.float64(0.02875), np.float64(0.0288), np.float64(0.0376), np.float64(0.0453), np.float64(0.0743), np.float64(0.08575), np.float64(0.1014)]"
winetype,"['SMM', 'SORD', 'HDy', 'X', 'MAX', 'DyS', 'PCC', 'ACC', 'MS', 'PACC', 'CC']","['DyS', 'MAX', 'X', 'SORD', 'CC', 'MS', 'PACC', 'SMM', 'ACC', 'PCC', 'HDy']","[np.float64(0.10203749999999996), np.float64(0.11388199999999993), np.float64(0.11817849999999985), np.float64(0.12040799999999997), np.float64(0.12917049999999997), np.float64(0.1304495), np.float64(0.2286085000000001), np.float64(0.26811399999999996), np.float64(0.3214804999999999), np.float64(0.34281300000000015), np.float64(0.35178550000000025)]","[np.float64(0.00705), np.float64(0.0072999999999999), np.float64(0.0090499999999999), np.float64(0.0094), np.float64(0.01055), np.float64(0.0108), np.float64(0.01175), np.float64(0.01265), np.float64(0.01305), np.float64(0.0184), np.float64(0.01855)]"
